id,visitor_id,page,time_spent,start_time
1,,HomePage,36.93479,2023-05-21 21:25:19.139387
2,,HomePage,25.284722,2023-05-21 21:25:56.082095
3,,HomePage,38.885124,2023-05-21 21:26:21.373253
4,,HomePage,45.264738,2023-05-21 21:27:43.462643
5,,HomePage,13.310236,2023-05-21 21:28:28.748226
6,,HomePage,6.181927,2023-05-21 21:28:42.061808
7,,HomePage,9.690344,2023-05-21 21:29:02.904921
8,,HomePage,7.175415,2023-05-21 21:29:12.603351
9,,HomePage,8.136357,2023-05-21 21:29:19.782592
10,,HomePage,15.005428,2023-05-21 21:29:27.922673
11,,HomePage,7.522867,2023-05-21 21:29:42.932124
12,,HomePage,5.02838,2023-05-21 21:29:50.459784
13,,HomePage,5.810746,2023-05-21 21:29:55.490794
14,,HomePage,4.488305,2023-05-21 21:30:01.304958
15,,HomePage,10.455944,2023-05-21 21:30:05.795819
16,,HomePage,4.379754,2023-05-21 21:30:16.255389
17,,HomePage,4.855629,2023-05-21 21:30:20.637813
18,,HomePage,26.459073,2023-05-21 21:30:25.496117
19,,HomePage,6.033811,2023-05-21 21:30:51.959657
20,,HomePage,14.815434,2023-05-21 21:31:17.521801
21,,HomePage,10.529626,2023-05-21 21:31:32.344068
22,,HomePage,9.529598,2023-05-21 21:31:42.877343
23,,HomePage,32.061301,2023-05-21 21:31:52.410796
24,,HomePage,23.622649,2023-05-21 21:32:24.477851
25,,HomePage,7.375584,2023-05-21 21:32:48.103773
26,,HomePage,9.826646,2023-05-21 21:32:55.482923
27,,HomePage,4.615937,2023-05-21 21:33:05.313531
28,,HomePage,3.773343,2023-05-21 21:33:09.932262
29,,HomePage,4.512388,2023-05-21 21:33:13.728222
30,,HomePage,31.866983,2023-05-21 21:33:18.243854
31,,HomePage,3.419761,2023-05-21 21:33:50.114852
32,,HomePage,4.70762,2023-05-21 21:33:53.537997
33,,HomePage,3.493634,2023-05-21 21:33:58.248622
34,,HomePage,34.711929,2023-05-21 21:34:27.824856
35,,HomePage,10.829338,2023-05-21 21:35:02.543122
36,,HomePage,9.870412,2023-05-21 21:35:13.375526
37,,HomePage,5.732559,2023-05-21 21:35:23.249183
38,,HomePage,4.898938,2023-05-21 21:35:28.985643
39,,HomePage,4.390497,2023-05-21 21:35:33.887205
40,,HomePage,5.164798,2023-05-21 21:35:38.280666
41,,HomePage,11.555194,2023-05-21 21:35:43.449853
42,,HomePage,4.173646,2023-05-21 21:35:55.007735
43,,HomePage,4.747126,2023-05-21 21:35:59.184833
44,,HomePage,3.815757,2023-05-21 21:36:03.934504
45,,HomePage,11.892949,2023-05-21 21:48:52.977489
46,,HomePage,7.588416,2023-05-21 21:49:48.265579
47,,HomePage,57.996152,2023-05-21 21:54:27.411965
48,,HomePage,7.683872,2023-05-21 21:55:25.431976
49,,HomePage,77.243598,2023-05-21 22:17:35.626797
50,,HomePage,15.472405,2023-05-21 22:18:52.881644
51,,HomePage,25.322916,2023-05-21 22:20:40.071632
52,,HomePage,3.582104,2023-05-21 22:23:20.896041
53,,Biking vs Public transport,4.74718,2023-05-21 22:23:24.485237
54,,HomePage,4.243753,2023-05-21 22:23:29.236093
55,,HomePage,3.283858,2023-05-21 22:24:01.267391
56,,Tips,5.093412,2023-05-21 22:24:04.556992
57,,HomePage,4.144727,2023-05-21 22:25:20.114304
58,,HomePage,4.523512,2023-05-21 22:26:12.139484
59,,Biking vs Public transport,5.324289,2023-05-21 22:26:16.668877
60,,Westside Story,34.070898,2023-05-21 22:26:22.022047
61,,Westside Story,22.001293,2023-05-21 22:26:56.096286
62,,Tips,15.486414,2023-05-21 22:27:18.100171
63,,HomePage,4.983479,2023-05-21 22:27:45.868709
64,,Tips,82.787944,2023-05-21 22:28:59.563489
65,,HomePage,3.322167,2023-05-21 22:30:22.370228
66,,HomePage,3.128923,2023-05-21 22:32:29.074855
67,,Westside Story,19.865691,2023-05-21 22:32:32.210599
68,,Westside Story,4.973746,2023-05-21 22:32:52.080079
69,,Westside Story,4.766545,2023-05-21 22:32:57.057714
70,,HomePage,4.124036,2023-05-21 22:33:38.732145
71,,Rental,56.786114,2023-05-21 22:33:42.862193
72,,Rental,10.018593,2023-05-21 22:34:39.652625
73,,Rental,22.816974,2023-05-21 22:34:49.674393
74,,HomePage,8.424081,2023-05-21 22:35:12.497272
75,,HomePage,24.60709,2023-05-21 22:35:20.925167
76,,HomePage,4.460753,2023-05-21 22:36:06.378954
77,,Westside Story,27.894048,2023-05-21 22:36:10.846001
78,,Westside Story,9.767487,2023-05-21 22:36:38.744741
79,,Westside Story,5.689482,2023-05-21 22:36:48.517251
80,,Westside Story,8.083282,2023-05-21 22:36:54.226255
81,,Westside Story,7.506226,2023-05-21 22:38:12.257299
82,,Westside Story,10.921642,2023-05-21 22:38:19.778442
83,,HomePage,4.260418,2023-05-21 22:39:08.911677
84,,HomePage,7.444755,2023-05-21 22:39:13.181654
85,,Biking vs Public transport,3.874147,2023-05-21 22:39:20.629330
86,,Westside Story,24.059873,2023-05-21 22:39:24.506206
87,,Westside Story,3.073113,2023-05-21 22:39:48.570047
88,,HomePage,4.424919,2023-05-21 22:39:51.646446
89,,Biking vs Public transport,3.349816,2023-05-21 22:39:56.074697
90,,Tips,4.165573,2023-05-21 22:39:59.427385
91,,Rental,3.899392,2023-05-21 22:40:03.595290
92,,HomePage,3.205414,2023-05-21 22:40:24.363361
93,,Westside Story,7.193582,2023-05-21 22:40:27.575820
94,,Westside Story,10.108575,2023-05-21 22:40:34.772529
95,,Westside Story,29.139401,2023-05-21 22:40:44.884839
96,,HomePage,3.554388,2023-05-21 22:41:43.819257
97,,Westside Story,14.096092,2023-05-21 22:41:47.379229
98,,Westside Story,12.499738,2023-05-21 22:42:01.478221
99,,HomePage,11.952434,2023-05-21 22:42:40.700757
100,,HomePage,15.257117,2023-05-21 22:42:52.660444
